#    L    TT             EE             BB             TE          
   347    0.17593E+00    0.12084E-02    0.65647E-03    0.64284E-02
   348    0.17768E+00    0.11883E-02    0.65246E-03    0.63982E-02
   349    0.17935E+00    0.11688E-02    0.64869E-03    0.63589E-02
   350    0.18093E+00    0.11499E-02    0.64517E-03    0.63104E-02
   351    0.18240E+00    0.11316E-02    0.64188E-03    0.62526E-02
   352    0.18377E+00    0.11139E-02    0.63884E-03    0.61859E-02
   353    0.18504E+00    0.10968E-02    0.63602E-03    0.61105E-02
   354    0.18621E+00    0.10803E-02    0.63343E-03    0.60269E-02
   355    0.18728E+00    0.10643E-02    0.63106E-03    0.59353E-02
   356    0.18826E+00    0.10490E-02    0.62890E-03    0.58362E-02
   357    0.18913E+00    0.10343E-02    0.62694E-03    0.57297E-02
   358    0.18992E+00    0.10201E-02    0.62518E-03    0.56164E-02
   359    0.19061E+00    0.10065E-02    0.62361E-03    0.54965E-02
   360    0.19121E+00    0.99349E-03    0.62222E-03    0.53704E-02
   361    0.19172E+00    0.98102E-03    0.62101E-03    0.52384E-02
   362    0.19215E+00    0.96909E-03    0.61997E-03    0.51009E-02
   363    0.19248E+00    0.95772E-03    0.61909E-03    0.49582E-02
   364    0.19273E+00    0.94688E-03    0.61837E-03    0.48106E-02
   365    0.19290E+00    0.93658E-03    0.61779E-03    0.46585E-02
   366    0.19298E+00    0.92681E-03    0.61736E-03    0.45022E-02
   367    0.19298E+00    0.91755E-03    0.61705E-03    0.43421E-02
   368    0.19290E+00    0.90882E-03    0.61688E-03    0.41785E-02
   369    0.19274E+00    0.90059E-03    0.61683E-03    0.40117E-02
   370    0.19251E+00    0.89287E-03    0.61689E-03    0.38422E-02
   371    0.19220E+00    0.88564E-03    0.61706E-03    0.36702E-02
   372    0.19181E+00    0.87891E-03    0.61732E-03    0.34960E-02
   373    0.19136E+00    0.87267E-03    0.61768E-03    0.33201E-02
   374    0.19083E+00    0.86690E-03    0.61813E-03    0.31427E-02
   375    0.19023E+00    0.86161E-03    0.61865E-03    0.29643E-02
   376    0.18956E+00    0.85678E-03    0.61925E-03    0.27851E-02
   377    0.18882E+00    0.85242E-03    0.61991E-03    0.26054E-02
   378    0.18802E+00    0.84851E-03    0.62062E-03    0.24257E-02
   379    0.18715E+00    0.84506E-03    0.62139E-03    0.22463E-02
   380    0.18622E+00    0.84204E-03    0.62221E-03    0.20675E-02
   381    0.18523E+00    0.83947E-03    0.62306E-03    0.18896E-02
